time (s),bit3_2_sampled (V),bit2_2_sampled (V),bit1_2_sampled (V),bit0_2_sampled (V)
122.0E-9,900.1E-3,220.3E-6,900.0E-3,900.0E-3
122.5E-9,900.1E-3,-151.3E-6,900.1E-3,900.0E-3
123.0E-9,900.1E-3,-184.2E-6,900.2E-3,899.9E-3
123.5E-9,899.8E-3,79.39E-6,900.0E-3,899.7E-3
124.0E-9,900.0E-3,116.4E-6,900.1E-3,899.9E-3
124.5E-9,900.0E-3,27.88E-6,900.0E-3,899.9E-3
125.0E-9,900.0E-3,-216.2E-6,899.9E-3,-89.38E-6
125.5E-9,900.0E-3,-309.3E-6,900.0E-3,-17.78E-6
126.0E-9,899.8E-3,185.2E-6,899.8E-3,14.15E-6
126.5E-9,900.0E-3,-102.1E-6,900.1E-3,-362.4E-6
127.0E-9,900.0E-3,-110.7E-6,-132.4E-6,899.9E-3
127.5E-9,899.8E-3,-113.8E-6,166.9E-6,899.8E-3
128.0E-9,899.8E-3,-130.1E-6,-154.9E-6,-32.08E-6
128.5E-9,900.2E-3,-117.8E-6,5.188E-6,-34.40E-6
129.0E-9,-83.05E-6,899.8E-3,899.9E-3,899.9E-3
129.5E-9,-37.81E-6,899.9E-3,900.0E-3,900.0E-3
130.0E-9,-174.4E-6,900.1E-3,899.9E-3,165.2E-6
130.5E-9,-85.74E-6,899.9E-3,899.9E-3,-197.1E-6
131.0E-9,332.9E-6,899.9E-3,77.82E-6,900.1E-3
131.5E-9,70.61E-6,900.1E-3,-280.9E-6,899.8E-3
132.0E-9,-75.11E-6,900.0E-3,-367.2E-6,-7.000E-6
132.5E-9,-290.9E-6,900.1E-3,91.33E-6,-123.8E-6
133.0E-9,128.8E-6,900.1E-3,-16.16E-6,-144.8E-6
133.5E-9,-90.67E-6,899.9E-3,-88.37E-9,-73.48E-6
134.0E-9,51.44E-6,900.0E-3,128.9E-6,132.6E-6
134.5E-9,-112.2E-6,900.1E-3,-130.4E-6,58.81E-6
135.0E-9,-98.79E-6,900.0E-3,-184.5E-6,88.59E-6
135.5E-9,20.75E-6,900.0E-3,41.32E-6,-65.69E-6
136.0E-9,-67.79E-6,899.8E-3,-51.08E-6,172.3E-6
136.5E-9,69.28E-6,900.0E-3,169.2E-6,12.14E-6
137.0E-9,-72.09E-6,899.9E-3,36.10E-6,900.0E-3
137.5E-9,-206.8E-6,899.8E-3,-278.3E-6,899.9E-3
138.0E-9,62.10E-6,899.9E-3,-290.2E-6,900.0E-3
138.5E-9,84.42E-6,899.9E-3,-111.4E-6,899.9E-3
139.0E-9,-73.33E-6,899.9E-3,899.8E-3,46.77E-6
139.5E-9,-254.6E-6,900.1E-3,899.9E-3,-143.2E-6
140.0E-9,-288.4E-6,899.9E-3,899.9E-3,900.0E-3
140.5E-9,-20.19E-6,899.9E-3,899.8E-3,900.0E-3
141.0E-9,900.1E-3,112.4E-6,34.03E-6,-60.05E-6
141.5E-9,899.9E-3,-124.2E-6,-121.4E-6,55.15E-6
142.0E-9,899.9E-3,-83.86E-6,-26.85E-6,900.1E-3
142.5E-9,900.0E-3,-199.3E-6,14.71E-6,899.9E-3
143.0E-9,899.8E-3,-192.1E-6,900.0E-3,69.23E-6
143.5E-9,899.9E-3,94.38E-6,900.1E-3,-25.61E-6
144.0E-9,899.9E-3,261.8E-6,900.2E-3,-347.5E-6
144.5E-9,900.1E-3,-181.7E-6,900.1E-3,-178.9E-6
145.0E-9,899.8E-3,158.3E-6,900.0E-3,900.1E-3
145.5E-9,900.1E-3,97.81E-6,900.1E-3,900.0E-3
146.0E-9,900.1E-3,-189.0E-6,899.9E-3,899.9E-3
146.5E-9,900.0E-3,-85.51E-6,899.9E-3,899.9E-3
147.0E-9,899.9E-3,-26.92E-6,900.0E-3,899.9E-3
147.5E-9,900.0E-3,-64.61E-6,899.9E-3,900.0E-3
148.0E-9,899.9E-3,6.997E-6,900.0E-3,188.8E-6
148.5E-9,900.0E-3,-334.9E-6,899.8E-3,-81.60E-6
149.0E-9,899.8E-3,-268.4E-6,899.8E-3,36.47E-6
149.5E-9,899.8E-3,-55.59E-6,899.9E-3,-146.9E-6
150.0E-9,900.0E-3,-16.97E-6,-295.8E-6,900.1E-3
150.5E-9,900.1E-3,331.1E-6,-10.54E-6,899.8E-3
151.0E-9,900.1E-3,249.9E-6,93.40E-6,-171.0E-6
151.5E-9,900.0E-3,-191.2E-6,-294.3E-6,223.8E-6
152.0E-9,-132.4E-6,899.8E-3,899.9E-3,899.9E-3
152.5E-9,121.1E-6,899.9E-3,899.9E-3,899.8E-3
153.0E-9,11.18E-6,900.1E-3,900.0E-3,269.4E-6
153.5E-9,-160.0E-6,900.1E-3,899.8E-3,64.66E-6
154.0E-9,106.7E-6,900.1E-3,-97.68E-6,899.9E-3
154.5E-9,21.71E-6,900.0E-3,-25.52E-6,900.0E-3
155.0E-9,22.18E-6,900.1E-3,-8.329E-6,899.9E-3
155.5E-9,-145.5E-6,899.9E-3,123.3E-6,900.1E-3
156.0E-9,-43.53E-6,900.0E-3,-197.2E-6,-33.21E-6
156.5E-9,-189.1E-6,900.2E-3,30.30E-6,-182.9E-6
157.0E-9,231.9E-6,899.9E-3,-62.19E-6,-32.32E-6
157.5E-9,51.43E-6,899.9E-3,183.8E-6,-132.4E-6
158.0E-9,-151.4E-6,899.9E-3,-23.76E-6,-164.7E-6
158.5E-9,-5.218E-6,900.0E-3,-30.10E-6,75.80E-6
159.0E-9,-27.54E-6,900.1E-3,-220.9E-6,-128.1E-6
159.5E-9,74.78E-6,900.0E-3,-47.36E-6,-187.2E-6
160.0E-9,-178.7E-6,900.1E-3,-166.9E-6,209.3E-6
160.5E-9,-183.7E-6,900.0E-3,21.23E-6,-150.9E-6
161.0E-9,17.46E-6,900.1E-3,-60.95E-6,900.1E-3
161.5E-9,-60.64E-6,899.9E-3,-117.6E-6,900.0E-3
162.0E-9,-15.59E-6,900.0E-3,900.1E-3,-73.95E-6
162.5E-9,-321.2E-6,900.0E-3,900.1E-3,-172.8E-6
163.0E-9,87.49E-6,900.1E-3,899.9E-3,899.9E-3
163.5E-9,-76.79E-6,899.8E-3,899.9E-3,899.9E-3
164.0E-9,900.0E-3,-210.0E-6,-203.6E-6,-10.83E-6
164.5E-9,899.9E-3,-28.31E-6,-49.75E-6,-285.9E-6
165.0E-9,899.9E-3,152.8E-6,8.899E-6,900.2E-3
165.5E-9,899.8E-3,86.50E-6,-338.2E-6,899.9E-3
166.0E-9,900.0E-3,164.0E-6,900.1E-3,-136.3E-6
166.5E-9,899.9E-3,-84.40E-6,899.9E-3,-136.4E-6
167.0E-9,900.0E-3,-102.7E-6,899.9E-3,-173.5E-6
167.5E-9,899.9E-3,-121.6E-6,899.9E-3,-36.24E-6
168.0E-9,899.8E-3,-117.7E-6,899.9E-3,900.1E-3
168.5E-9,900.1E-3,-80.98E-6,899.9E-3,899.9E-3
169.0E-9,900.1E-3,51.03E-6,900.1E-3,900.0E-3
169.5E-9,900.0E-3,-312.1E-6,900.0E-3,900.0E-3
170.0E-9,900.1E-3,-105.3E-6,900.1E-3,899.9E-3
170.5E-9,900.1E-3,-66.90E-6,900.1E-3,899.9E-3
171.0E-9,900.1E-3,108.5E-6,900.1E-3,900.1E-3
171.5E-9,900.1E-3,-138.2E-6,900.0E-3,900.0E-3
172.0E-9,899.9E-3,89.25E-6,900.0E-3,278.5E-6
172.5E-9,900.1E-3,-224.8E-6,900.1E-3,-139.1E-6
173.0E-9,899.9E-3,-3.130E-6,-123.2E-6,900.1E-3
173.5E-9,900.0E-3,-132.5E-6,-290.0E-6,899.9E-3
174.0E-9,900.0E-3,-179.2E-6,68.76E-6,264.1E-6
174.5E-9,899.9E-3,-170.5E-6,-64.39E-6,-46.30E-6
175.0E-9,69.95E-6,900.1E-3,900.1E-3,900.1E-3
175.5E-9,-96.54E-6,900.1E-3,900.0E-3,900.0E-3
176.0E-9,-155.4E-6,900.0E-3,900.0E-3,308.5E-6
176.5E-9,-347.7E-6,899.8E-3,899.8E-3,-66.78E-6
177.0E-9,-160.7E-6,900.2E-3,899.9E-3,71.82E-6
177.5E-9,-85.29E-6,900.0E-3,900.0E-3,-205.2E-6
178.0E-9,123.7E-6,899.9E-3,3.945E-6,900.1E-3
178.5E-9,165.9E-6,900.0E-3,-54.82E-6,900.0E-3
179.0E-9,-67.81E-6,900.0E-3,-155.4E-6,-267.1E-6
179.5E-9,-77.30E-6,900.1E-3,-106.0E-6,-61.02E-6
180.0E-9,78.93E-6,899.9E-3,-132.8E-6,-48.05E-6
180.5E-9,256.7E-6,900.1E-3,-58.97E-6,-62.67E-6
181.0E-9,-175.3E-6,899.9E-3,11.22E-6,273.9E-6
181.5E-9,-9.713E-6,900.0E-3,103.2E-6,-137.3E-6
182.0E-9,-107.9E-6,899.9E-3,-198.8E-6,154.7E-6
182.5E-9,-1.328E-6,900.1E-3,128.2E-6,-252.9E-6
183.0E-9,-15.97E-6,900.0E-3,68.72E-6,-53.60E-6
183.5E-9,-201.5E-6,900.0E-3,-22.45E-6,-110.1E-6
184.0E-9,-118.7E-6,899.9E-3,-5.547E-6,900.0E-3
184.5E-9,-14.52E-6,900.0E-3,260.3E-6,900.0E-3
185.0E-9,-52.33E-6,899.9E-3,900.0E-3,49.63E-6
185.5E-9,-17.98E-6,899.9E-3,900.0E-3,135.8E-6
186.0E-9,19.18E-6,899.8E-3,900.0E-3,899.8E-3
186.5E-9,-104.5E-6,899.9E-3,900.0E-3,900.0E-3
187.0E-9,899.9E-3,-47.87E-6,88.86E-6,-152.9E-6
187.5E-9,900.0E-3,-101.6E-6,261.3E-6,10.34E-6
188.0E-9,900.1E-3,-102.9E-6,45.14E-6,899.9E-3
188.5E-9,899.9E-3,24.26E-6,-47.04E-6,899.9E-3
189.0E-9,899.9E-3,118.8E-6,-20.81E-6,900.0E-3
189.5E-9,900.1E-3,-18.35E-6,163.7E-6,900.2E-3
190.0E-9,899.9E-3,155.0E-6,899.9E-3,-170.4E-6
190.5E-9,900.0E-3,17.78E-6,899.9E-3,111.9E-6
